"no_heading_1"	"no_heading_2"	"no_heading_3"	"no_heading_4"	"no_heading_5"	"no_heading_6"	"no_heading_7"	"no_heading_8"	"no_heading_9"	"no_heading_10"	"no_heading_11"	"no_heading_12"	"no_heading_13"	"no_heading_14"	"no_heading_15"	"no_heading_16"	"no_heading_17"	"no_heading_18"	"no_heading_19"	"no_heading_20"	"no_heading_21"
"HCrO4-"	1.510758782722604e-09	"CrOH+2"	7.787433107254017e-10	"Cr(OH)2+"	1.291277313765302e-10	"pH"	5.040201000000000e+00	"pe"	1.058135491726187e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116963193305136e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.120259426505175e-09	"HCrO4-"	1.085453330536324e-09	"Cr(OH)2+"	1.857564056253242e-10	"pH"	5.040201000000000e+00	"pe"	1.048085216725693e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096862643304149e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.588589741752262e-09	"CrOH+2"	7.127369513721163e-10	"Cr(OH)2+"	1.237756336385695e-10	"pH"	5.060301500000000e+00	"pe"	1.056125442837998e+01	"PO2"	-1.969849200000000e+01	"PH2"	-3.116963195528759e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.168836701069200e-09	"CrOH+2"	1.049976577414449e-09	"Cr(OH)2+"	1.823414879057307e-10	"pH"	5.060301500000000e+00	"pe"	1.046075167837511e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096862645527785e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.434449709398557e-09	"HCrO4-"	6.941772480934181e-10	"Cr(OH)2+"	2.378540325358742e-10	"pH"	5.040201000000000e+00	"pe"	1.038034966725239e+01	"PO2"	-2.050251300000001e+01	"PH2"	-3.076762143303240e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.374890193683450e-09	"HCrO4-"	7.644247559314906e-10	"Cr(OH)2+"	2.387667773353281e-10	"pH"	5.060301500000000e+00	"pe"	1.036024917837042e+01	"PO2"	-2.050251300000000e+01	"PH2"	-3.076762145526847e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.252193111396638e-09	"CrOH+2"	9.790756053305112e-10	"Cr(OH)2+"	1.780745995428607e-10	"pH"	5.080402000000000e+00	"pe"	1.044065118996083e+01	"PO2"	-2.010050300000000e+01	"PH2"	-3.096862647844929e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.311891056536636e-09	"HCrO4-"	8.380025728631266e-10	"Cr(OH)2+"	2.386071855294197e-10	"pH"	5.080402000000000e+00	"pe"	1.034014868995603e+01	"PO2"	-2.050251300000001e+01	"PH2"	-3.076762147843969e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"HCrO4-"	1.334672032070815e-09	"CrOH+2"	9.083212738147114e-10	"Cr(OH)2+"	1.730231594542811e-10	"pH"	5.100502500000000e+00	"pe"	1.042055070203105e+01	"PO2"	-2.010050300000001e+01	"PH2"	-3.096862650258972e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
"CrOH+2"	1.245948658042591e-09	"HCrO4-"	9.143821109528887e-10	"Cr(OH)2+"	2.373366997369222e-10	"pH"	5.100502500000000e+00	"pe"	1.032004820202618e+01	"PO2"	-2.050251299999999e+01	"PH2"	-3.076762150257999e+01	"temp"	2.820000000000000e+01	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.000000000000000e+00
